score,r2_1,r2_2,epochs,kernel_size,points,model_param1,model_param2,telescope,t_int,label,ps_bins_to_make,ps_bins_to_use
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",1366,29,
NA,NA,NA,NA,NA,NA,20,6,NA,NA,"testing optuna for PS xgb model",1227,24,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1081,36,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",1306,42,
NA,NA,NA,NA,NA,NA,20,6,NA,NA,"testing optuna for PS xgb model",1013,71,
NA,NA,NA,NA,NA,NA,10,7,NA,NA,"testing optuna for PS xgb model",1380,50,
NA,NA,NA,NA,NA,NA,145,7,NA,NA,"testing optuna for PS xgb model",1274,49,
NA,NA,NA,NA,NA,NA,10,7,NA,NA,"testing optuna for PS xgb model",1157,38,
NA,NA,NA,NA,NA,NA,10,7,NA,NA,"testing optuna for PS xgb model",1367,37,
NA,NA,NA,NA,NA,NA,15,7,NA,NA,"testing optuna for PS xgb model",1162,60,
NA,NA,NA,NA,NA,NA,10,7,NA,NA,"testing optuna for PS xgb model",1373,38,
NA,NA,NA,NA,NA,NA,15,7,NA,NA,"testing optuna for PS xgb model",1379,34,
NA,NA,NA,NA,NA,NA,10,8,NA,NA,"testing optuna for PS xgb model",1292,38,
NA,NA,NA,NA,NA,NA,20,7,NA,NA,"testing optuna for PS xgb model",1105,52,
NA,NA,NA,NA,NA,NA,60,7,NA,NA,"testing optuna for PS xgb model",1205,35,
NA,NA,NA,NA,NA,NA,10,7,NA,NA,"testing optuna for PS xgb model",1360,42,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",1073,41,
NA,NA,NA,NA,NA,NA,25,6,NA,NA,"testing optuna for PS xgb model",118,63,
NA,NA,NA,NA,NA,NA,10,7,NA,NA,"testing optuna for PS xgb model",1356,39,
NA,NA,NA,NA,NA,NA,10,7,NA,NA,"testing optuna for PS xgb model",1378,49,
NA,NA,NA,NA,NA,NA,10,7,NA,NA,"testing optuna for PS xgb model",1228,42,
NA,NA,NA,NA,NA,NA,15,8,NA,NA,"testing optuna for PS xgb model",1206,42,
NA,NA,NA,NA,NA,NA,20,6,NA,NA,"testing optuna for PS xgb model",1148,31,
NA,NA,NA,NA,NA,NA,10,7,NA,NA,"testing optuna for PS xgb model",1022,37,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1257,28,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",1239,27,
NA,NA,NA,NA,NA,NA,20,6,NA,NA,"testing optuna for PS xgb model",1091,31,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1236,28,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1238,28,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",1233,30,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1145,27,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",1144,28,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1054,34,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",1044,34,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1187,28,
NA,NA,NA,NA,NA,NA,20,6,NA,NA,"testing optuna for PS xgb model",1185,27,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",1246,26,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",978,30,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1127,30,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",1253,28,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",966,32,
NA,NA,NA,NA,NA,NA,20,6,NA,NA,"testing optuna for PS xgb model",1116,33,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",941,37,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",1187,25,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",1055,44,
NA,NA,NA,NA,NA,NA,10,6,NA,NA,"testing optuna for PS xgb model",80,33,
NA,NA,NA,NA,NA,NA,15,6,NA,NA,"testing optuna for PS xgb model",1250,26,
